,KEYWORDS,SUMMARY,TEXT,TITLE,URL
0,"['running', 'history', 'study', 'help', 'run', 'men', 'runners', 'smoking', 'heart', 'plaque', 'roberts']","Indeed, all that running probably helped to keep some runners’ arteries clear.
But the exercise also had not inoculated those with a history of unwise lifestyle choices, especially smoking, against developing heart disease.
This type of study also can show only relationships between running and heart health.
It cannot prove that running directly caused any changes in the heart.
Still, the results may help to quell some runners’ and their families’ worries about the cardiac demands of long-term training.","But, adding still more complexity to the issue, other recent studies have indicated that, even if longtime endurance athletes do develop heart problems such as atherosclerosis, their version of the disease may be different from and more benign than the types of heart disease that develop in less active people.

It was in hopes of bringing more clarity to the increasingly tangled question of how endurance training affects hearts that researchers from the University of Minnesota, Stanford University and other institutions decided, for the new study, to zero in on a unique group of runners: men who had participated in at least 25 consecutive Twin Cities marathons in Minneapolis-St. Paul.

These 50 runners, identified by marathon participation logs, turned out to have completed, collectively, 3,510 marathons, with each runner, individually, having finished anywhere from 27 to 171 of the races.

The men obviously were experienced endurance athletes. They had trained for at least 26 years, and some for more than 50. Many had started competing in high school or earlier, but others had come to the sport much later, often, the researchers report, in hopes of ameliorating the effects of past lifestyle choices, such as smoking or junk food diets. Most were lean at the time of the study, but a few qualified as overweight, based on their body mass indexes.

Most ran 30 miles per week or more.

The researchers had each of these runners fill out detailed questionnaires about their training routines, as well as their general health history and habits.

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Then they scanned the runners’ hearts to look for atherosclerosis.

Sixteen of the runners proved to have no plaque in their arteries at all. The rest had some deposits, with 12 displaying slight amounts, another 12 moderate levels, and 10 having worrisomely large deposits of plaques.

When the scientists compared the men’s running histories to their scan results, however, they found little relationship between how much they had run overall and how much plaque they had in their arteries. Those men who had run the greatest number of marathons did not tend to have less, or more, arterial plaque than the men who had run fewer races, indicating that extreme running itself had not increased the severity of heart disease.

On the other hand, a history of heavy smoking and high cholesterol was linked to greater levels of plaque, especially in the men who had begun running later in life.

Advertisement Continue reading the main story

The good news was that these findings suggest that years of hard running had not harmed the men’s hearts, says Dr. William O. Roberts, a professor of family and community medicine at the University of Minnesota, who led the study, which was published in Medicine & Science in Sports & Exercise. Indeed, all that running probably helped to keep some runners’ arteries clear.

But the exercise also had not inoculated those with a history of unwise lifestyle choices, especially smoking, against developing heart disease.

“You can’t just outrun your past,” Dr. Roberts says.

Of course, this study was relatively small and focused on Caucasian men with the physical, economic and psychological wherewithal to run competitively for years. Whether the results apply equally to other people and other sports is unclear. (Dr. Roberts and his collaborators published a small study earlier this year of female marathon runners that found almost no plaques in their hearts.)

This type of study also can show only relationships between running and heart health. It cannot prove that running directly caused any changes in the heart.

Still, the results may help to quell some runners’ and their families’ worries about the cardiac demands of long-term training. But if you misspent your youth smoking and eating poorly or have a family history of cardiac disease, you might want to talk with your physician about having your heart assessed, Dr. Roberts says, even if you have completed a marathon or two, or even 100.",How Running May or May Not Help the Heart,https://www.nytimes.com/2017/11/29/well/move/running-marathons-heart-health.html?partner=rss&amp;emc=rss
1,"['colombias', 'rose', 'york', 'cali', 'salsa', 'cromwell', 'rhythm', 'timesimage', 'style', 'dance', 'credit', 'capital', 'marie']","the look The Rhythm of Colombia’s Salsa Capital In Cali, dancing can start as early as the afternoon, and the energy never lets up.
Credit Rose Marie Cromwell for The New York TimesTwo kinds of dancers pack the salsa clubs of Cali, Colombia.
You know, what they do in the circus — the somersaults.”The photographer Rose Marie Cromwell came across Cali’s vibrant salsa scene almost by accident.
Credit Rose Marie Cromwell for The New York TimesImage Credit Rose Marie Cromwell for The New York TimesImage Credit Rose Marie Cromwell for The New York TimesImage Credit Rose Marie Cromwell for The New York TimesThere are other differences separating Cali styles and stateside styles.
Image Credit Rose Marie Cromwell for The New York TimesImage Credit Rose Marie Cromwell for The New York TimesYet other characteristics remain the same between salseros.","the look The Rhythm of Colombia’s Salsa Capital In Cali, dancing can start as early as the afternoon, and the energy never lets up.

Image A couple salsa dancing at Viejoteca Pardo Llada. Credit Rose Marie Cromwell for The New York Times

Two kinds of dancers pack the salsa clubs of Cali, Colombia. There are the purists, who like to keep their footwork on the ground, the way salsa was first danced in the 1970s. Then there are the more daring — typically younger — provocateurs, who incorporate demanding tricks and lifts frowned upon by traditionalists. If you’re keen on finding a partner, you may want to stick to the original formula.

Image El Museo de Salsa, in the Obrero neighborhood of Cali. Credit Rose Marie Cromwell for The New York Times

Though it can be found in clubs all over the world now, salsa is still a relatively new dance form. Born in New York City from a mix of music and steps from Cuba, Puerto Rico and Harlem, it came of age in the early 1970s. Alfredo Caicedo Viveros, a salsa historian in Cali, said it wasn’t long before Colombian sailors brought the new trend back with them. “People would say, ‘Do you want to listen to some music from New York?’” he recalled. “It was so rhythmic! It made you move!”

Not long after, dance clubs called salsatecas sprang up in Cali, especially in the working-class neighborhood of the Barrio Obrero. Colombian musicians began forming salsa bands to make their own contributions to the growing scene. Mr. Caicedo cited Grupo Niche, Orquesta Guayacán, Orquesta La Identidad and La Gran Banda Caleña as some of the most popular bands in the early days of Colombian salsa.

Image A wallflower at the salsateca Santo. Credit Rose Marie Cromwell for The New York Times

Image A youth dance team performs for the crowd at Santo. Credit Rose Marie Cromwell for The New York Times

Image Outside the salsateca La Poncena. Credit Rose Marie Cromwell for The New York Times

Taking its name from the city that developed it, the Cali style developed from a mix of pachanga (a dance best recognized for its shuffled side-to-side steps), charanga (a riff on a traditional Cuban dance) and boogaloo (another form born in New York City, which mixes several styles) dances.

Over time, the Cali style continued to evolve. “We have here a well-known school by Luis Eduardo Hernández (also known as El Mulato), who founded the Swing Latino school,” Mr. Caicedo said. Mr. Eduardo introduced a new element to salsa, Mr. Caicedo said, “which was acrobatics. You know, what they do in the circus — the somersaults.”

The photographer Rose Marie Cromwell came across Cali’s vibrant salsa scene almost by accident. “I heard people tell me that Cali was the capital of the salsa,” she said. It was enough to pique her interest.

“I first went to NellyTeca, brought there by a friend in her late 20s,” Ms. Cromwell said. “Even though the salsa scene mostly consists of older people, she knew about this salsateca so she brought us there. It was packed with people and loud with salsa music. Lots of characters, lots of interesting people.”

That first salsateca also gave Ms. Cromwell some of her favorite memories of the assignment. “NellyTeca was so friendly, so close,” she said. “It kind of got rowdy, and I like that energy. I liked the small ones, that was an experience. It’s where two older ladies were having a beer in the corner, and older couples were dancing together on a small floor. It was bittersweet and romantic. It felt like I traveled back in time.”

Mr. Caicedo’s generation was the first to dance in salsatecas. He met his wife at a dance more than four decades ago. As one of the elder statesmen of the form, Mr. Caicedo still prefers the old-fashioned style, free of showmanship. “We dance on the floor — that’s the Cali style, which is the nice one,” he said. “We show our respect to the ladies. She doesn’t have to be dropped on the floor, and you don’t have to take her by her foot to put her in the air.”

Image A couple at the salsateca Caderona. Credit Rose Marie Cromwell for The New York Times

You’ll have an easier time finding the traditional Cali style in a viejoteca, a salsateca that specializes in playing salsa music for a typically older group of dancers. “There’s a loyalty in Cali to the way it was danced, the way people dressed,” Ms. Cromwell said. “Maybe because Colombia was isolated for so long, it stayed the same.”

Once an exercise class for the elderly in the early 1990s, the viejoteca became a refuge for Cali-style purists, according to Mr. Caicedo. Now, viejotecas are weekend parties that start in the afternoon and wind down around 10 p.m. It’s a very different scene from New York, where salsa dancing normally begins in the late evening. Cali’s earlier start time also cuts down the drinking hours. “Not everyone’s drinking. It’s more of a social event, not a drinking event,” Ms. Cromwell said.

Image Jorge Martinez playing records in his bar, La Poncena. Credit Rose Marie Cromwell for The New York Times

Image Credit Rose Marie Cromwell for The New York Times

Image Credit Rose Marie Cromwell for The New York Times

Image Credit Rose Marie Cromwell for The New York Times

There are other differences separating Cali styles and stateside styles. Most of the salsa dancing in the United States requires couples to move back and forth on the dance floor. In Cali, couples move from side to side like a mirror image. Their upper body and arms are supposed to remain still while their feet quickly work through steps that look like a Latin-tinged jive.

Depending on the style you’re dancing in the United States, the motion can vary from big showy gestures and spins to tightly controlled movements confined to the couple’s personal space.

Image Credit Rose Marie Cromwell for The New York Times

Image Credit Rose Marie Cromwell for The New York Times

Yet other characteristics remain the same between salseros. The steps are always fast, and the hips are meant to move. The couple should hold onto each other, with the follower reading every change in the leader’s position as a signal for the next move.

“Now, rich people, poor people, everybody dances it. No matter your creed, ideology, gender or partisanship,” Mr. Caicedo said. “You can choose how you want to dress. If you want to dress to honor the old times, you can dress like a dancer. Otherwise, you can enjoy it, but you use your regular clothes.”

Image Cooling off at the salsateca Santo. Credit Rose Marie Cromwell for The New York Times

Image Youth dancers at Santo. Credit Rose Marie Cromwell for The New York Times

Image Outside the salsateca Caderona. Credit Rose Marie Cromwell for The New York Times

Throughout salsatecas large and small, there’s an unmistakable look of focus and energy on the faces of professional and recreational dancers. Some are smiling while holding onto their partners. Others are concentrating on remembering their rehearsed choreography. The dancers on the sidelines watch on or catch their breath. Women wave fans for a cool breeze, and men dry themselves off with handkerchiefs.

Ms. Cromwell said the experience was entertaining to watch and to document. “It was a really fun scene, the dancers were so animated,” she said. “Colombians are an open culture. Everyone wanted to share about Cali, it’s not a touristy scene there.”

No matter the style, that thrill of dancing is always the same. “Salsa evokes human feelings,” Mr. Caicedo said. “It makes me feel ecstatic when I dance. It makes me express that feeling with my limbs, because I feel joy.”

Image Teresa Montoya and Hernando Muñoz at NellyTeca. Credit Rose Marie Cromwell for The New York Times

Roman Yavich contributed reporting.

Continue following our fashion and lifestyle coverage on Facebook (Styles and Modern Love), Twitter (Styles, Fashion and Weddings) and Instagram.







Monica Castillo is the film writer for Watching, where she covers movies available to stream online. Since joining The Times in 2016, she has also covered the New York Film Festival, Cuban cinema and issues of representation in film. @mcastimovies Order Reprints | Today’s Paper | Subscribe A version of this article appears in print on , on Page ST 4 of the New York edition

Sign up for the Of The Moment Newsletter Get lifestyle news from the Style, Travel and Food sections, from the latest trends to news you can use. SEE SAMPLE Please verify you’re not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. * Required field You agree to receive occasional updates and special offers for The New York Times products and services. Thank you for subscribing. View all New York Times newsletters. An error has occurred. Please try again later. You are already subscribed to this email. View all New York Times newsletters. Sign Up",The Rhythm of Colombia’s Salsa Capital,https://www.nytimes.com/2017/12/02/style/colombia-salsa-clubs.html
2,"['husband', 'mr', 'therapist', 'woman', 'chaulk', 'experienced', 'speaks', 'place', 'hertwig', 'similar', 'ms']","Ms. Chaulk was 28 and had been married just shy of five years when she learned of her husband’s infidelity.
Meeting Mr. Hertwig that day in the waiting room was “a total fluke” and “surreal,” she said.
She found talking with the husband of the woman that her husband was having an affair with more therapeutic than any therapy session.
“With some of my friends, they were so angry on my behalf and I didn’t want the anger,” Ms. Chaulk said.
He has been dating the same woman for several years, and he also communicates with Ms. Chaulk every so often through Facebook.","Ms. Chaulk was 28 and had been married just shy of five years when she learned of her husband’s infidelity. She had gone to see the therapist, she said, because she and her husband had met with the woman previously for marriage counseling. Ms. Chaulk wanted to get answers from someone who knew and understood her situation. It turned out that person was not the therapist, but Mr. Hertwig.

Indeed, one ponders the mysterious ways of chance and fate after learning that Ms. Chaulk visited the therapist just once (after couples counseling). Meeting Mr. Hertwig that day in the waiting room was “a total fluke” and “surreal,” she said.

She found talking with the husband of the woman that her husband was having an affair with more therapeutic than any therapy session.

For one thing, she was able, through Mr. Hertwig, to “piece together some of the timeline,” she said, to better know what had happened by comparing their spouses’ behavior and schedules over the previous months. “I’ll never get the full story,” she said. “But having some sense helped me find some closure and move on.”

It also helped that Mr. Hertwig knew exactly what she was going through because he was going through it, too. “With some of my friends, they were so angry on my behalf and I didn’t want the anger,” Ms. Chaulk said. “Whereas Benjamin and I could express a wide spectrum of feelings. It was a safe place to do it, and more productive.”

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Mr. Hertwig, looking back on the encounter four years later, had a similar assessment of his conversations with Ms. Chaulk, who had “experienced the flip side of the coin,” he said. Being able to talk to her likewise for him made the therapist largely unnecessary. What was more helpful, he said, was “the feeling of looking across at someone who had experienced much of what I experienced and felt what I had felt.”

Mr. Hertwig is a former soldier who had served in Afghanistan, a difficult experience he was struggling with. In his essay, he said he was “attracted to her strength — maybe to her as well.” How did Ms. Chaulk feel in that moment?

For so long in her relationship with her husband, she said, “I’d been lying to my friends and everyone, pretending all was well when it wasn’t. During that time in the cafe, I was willing to look it in the eye and embrace it and make a plan. That was the first time I was honest with myself and how I was feeling.”

Advertisement Continue reading the main story

If she felt a similar romantic spark toward Mr. Hertwig, it was because they were communicating honestly, she said, “and because we so clearly were on the same page. We had some very similar values. Being able to share that with someone was intimate in its own way.”

These days, Ms. Chaulk is a nurse in the same Canadian city where the story takes place. She is divorced from her husband, with whom she shares custody of their son, and is currently in a long-term relationship.

Every now and then, she said, she dusts off Mr. Hertwig’s essay. “Rereading it puts me back in a place where I was the most honest I’ve been with myself,” Ms. Chaulk said. “I use that story as a checkpoint so that I maintain that.”

Mr. Hertwig is now a Ph.D. student in English in Vancouver, British Columbia. He said he has more emotional distance from both his divorce and his military service, and better understands how the two were interconnected. He recently published a book of poetry, “Slow War,” that deals with these topics.

Mr. Hertwig is no longer in contact with his ex-wife. He has been dating the same woman for several years, and he also communicates with Ms. Chaulk every so often through Facebook. Despite their brief interaction, and the unhappy circumstances under which it took place, Mr. Hertwig said he will always feel “linked” to her, even as the years pass.

“Because however brief, it was important to me,” he said.

Read new Modern Love essays and follow-ups from past favorites here.",The Other Woman Speaks,https://www.nytimes.com/2017/11/07/style/modern-love-the-other-woman-speaks.html?partner=rss&amp;emc=rss
3,"['super', 'cruise', 'hands', 'future', 'wheel', 'drivers', 'forward', 'driving', 'eyes', 'strip', 'near', 'car', 'road', 'system', 'steering']","Super Cruise was introduced in September and is General Motors’ answer to Tesla’s Autopilot, the best known of the semiautonomous driving systems that have arrived in the past two years.
But Super Cruise has one big advantage: Unlike Autopilot, it does not require you to keep your hands on the steering wheel.
As long as I glance up every so often, Super Cruise knows that I’m keeping an eye on the road.
When Super Cruise is engaged, a thin light strip on the top of the steering wheel appears green.
To get Super Cruise back, I need only look forward and place my hands on the wheel.","So on this brisk November day, my hands-free road trip with Super Cruise offered a glimpse into that future — a world in which the grinding daily commute will transform into quiet time, and long drives can become productive hours on the road.

Super Cruise was introduced in September and is General Motors’ answer to Tesla’s Autopilot, the best known of the semiautonomous driving systems that have arrived in the past two years. Neither Autopilot nor Super Cruise is fully autonomous — both require drivers to remain alert and prepared to take control at any time.

But Super Cruise has one big advantage: Unlike Autopilot, it does not require you to keep your hands on the steering wheel. As I’m typing this, a camera mounted on the steering column is monitoring my eyes and head. As long as I glance up every so often, Super Cruise knows that I’m keeping an eye on the road.

For more than an hour, Super Cruise pilots the car with no input from me — no steering, no braking and no acceleration. In that time, I cover 65 miles. With my hands free, I scroll through Twitter and Facebook. I log into my bank account and read the headlines from The New York Times.

As long as I look up at the road about every three seconds, Super Cruise remains in command, maintaining a safe following distance and easing the Cadillac through the freeway’s contours. When Super Cruise is engaged, a thin light strip on the top of the steering wheel appears green. If I look away longer than three seconds, it flashes to bring my gaze back on the highway. If I fail to do so, the light strip turns red and the driver’s seat vibrates, telling me to take control.

That has happened only once so far. To get Super Cruise back, I need only look forward and place my hands on the wheel. After a few seconds, the light strip turns green again, and my hands are free to go back to the iPhone.

I quickly learn how to glance regularly at the road. My host in South Bend, my cousin Pat, calls me using the video chat function in Facebook Messenger. I hold the phone up over the steering wheel so that I can see Pat on the screen while keeping my gaze looking forward, ensuring Super Cruise remains in control.

Photo

All the while, the CT6 stays centered in the left lane of I-94. But if I want to change lanes or to pass other cars, I take the wheel myself and steer the car over. The light strip turns blue, indicating I’m temporarily overriding Super Cruise. Once the car is in the new lane, the strip goes back to green and I’m hands-free again. It decelerates when approaching slower vehicles. When the road clears, it accelerates back up to the speed I’ve selected: 74 m.p.h., four over the speed limit.

Advertisement Continue reading the main story

At one point, a car merging onto the highway scoots in front of me. Super Cruise responds quickly and brakes. I sense no danger of a collision.

G.M. is careful to specify that it is not promoting Super Cruise as a way to let drivers text, Google or open a newspaper on the highway. “We don’t recommend it,” said Lisa Sieradski, global product manager for the CT6. “It will allow you to glance down at a phone or the radio, but you have to return your eyes to the road.”

Newsletter Sign Up Continue reading the main story Please verify you're not a robot by clicking the box. Invalid email address. Please re-enter. You must select a newsletter to subscribe to. Sign Up You agree to receive occasional updates and special offers for The New York Times's products and services. Thank you for subscribing. An error has occurred. Please try again later. View all New York Times newsletters.

Nonetheless, using the same video-chatting method, I watch a four-minute highlight video from a Rangers game. (They beat the Bruins, 4-2.) I also conduct a phone interview, taking notes with a pen and a pad. When my trip ended, I had covered 378 miles. My hands were on the wheel for no more than 25 of them.

Ms. Sieradski said G.M. had tried to engineer Super Cruise to keep drivers safe — and limit opportunities to use the system improperly — by restricting how and where they could use it. The system will not operate at speeds above 85 mile per hour, for example.

And Super Cruise can be activated only on divided, limited-access highways such as interstates — places where it need not contend with intersections, traffic lights and pedestrians. The system determines its exact location by relying on high-precision digital maps and GPS technology, while sensors track the surrounding traffic — the way sensors do for driver aides like adaptive cruise control. The system is able to determine when the car is on a service road along the highway, or even on entry and exit ramps — locations where it requires you to steer yourself.

But when the Super Cruise system senses it is on an approved road, a white steering wheel icon appears on the instrument panel. Press a button, and the green bar lights up and the system takes over.

For now, Super Cruise is available only on the 2018 CT6. Dealers in Michigan are offering the car with the option for about $73,000.

The ability to cruise on the highway hands-free is a major step forward. For many drivers, systems that require them to keep their hands on the steering wheel seem almost self-defeating. What’s the point of having the car steer itself if your hands have to stay on the wheel?

Advertisement Continue reading the main story

While driving the CT6 over several days, I found it was actually more pleasing to leave my phone alone. One morning at rush hour, I sat quietly with my hands on my knees, sipping a latte as though I were relaxing on my couch.

On the return leg of my South Bend trip, I turned on the back massager built into the CT6’s driver’s seat. From my phone, I piped a new-age meditation through the CT6’s sound system.

As I stared at the truck ahead of me, and the seat kneaded my lower back, I crossed the border into the state of Zen. The voice on the meditation intoned: “You are feeling relaxed and calm.”

For two hours and 120 miles, I was.","The Near Future of Driving: Eyes Forward, but No Hands at 10 and 2",https://www.nytimes.com/2017/11/16/business/cadillac-super-cruise.html
4,"['football', 'lagosphoto', 'player', 'complex', 'festival', 'truths', 'telling', 'team', 'remaining', 'wilson', 'africa', 'high', 'returned', 'school', 'professional', 'public']","In Flint, High School Football Is No GameChris Wilson, a former professional football player, returned to his Michigan hometown to coach its last remaining public high school team, offering lessons that go far beyond the field.","In Flint, High School Football Is No Game

Chris Wilson, a former professional football player, returned to his Michigan hometown to coach its last remaining public high school team, offering lessons that go far beyond the field.",Telling Complex Truths About Africa at LagosPhoto Festival,https://www.nytimes.com/slideshow/2017/11/27/blogs/telling-complex-truths-about-africa-at-lagosphoto-festival.html
5,"['football', 'dignity', 'war', 'player', 'death', 'team', 'guatemalas', 'remaining', 'wilson', 'civil', 'witnessing', 'high', 'returned', 'school', 'public', 'professional', 'amid']","In Flint, High School Football Is No GameChris Wilson, a former professional football player, returned to his Michigan hometown to coach its last remaining public high school team, offering lessons that go far beyond the field.","In Flint, High School Football Is No Game

Chris Wilson, a former professional football player, returned to his Michigan hometown to coach its last remaining public high school team, offering lessons that go far beyond the field.",Witnessing Dignity Amid Death in Guatemala’s Civil War,https://www.nytimes.com/slideshow/2017/11/29/blogs/witnessing-dignity-amid-death-in-guatemalas-civil-war.html
6,['在秘鲁沙漠冰川融化是恩赐也是诅咒'],,,在秘鲁沙漠，冰川融化是恩赐，也是诅咒,https://cn.nytstyle.com/slideshow/20171127/t27peru-ss/
7,"['sound', 'matter', 'puzzle', 'todays', 'despite', 'contrary', 'theme', 'writing', 'gordon', 'ante', 'yeah', 'appearances', 'words']","PhotoMONDAY PUZZLE — The theme topic of Peter Gordon’s crossword is something that most people remember learning in English or writing classes in school, but which is largely forgotten until a puzzle like today’s comes along and makes you think “Oh yeah!
That’s pretty cool.”Today’s ThemeMr. Gordon offers us a seemingly disparate list of names and phrases but, this being a theme, they all have one thing in common.
They all use ALLITERATION, the revealer at 18D, although Mr. Gordon has added an interesting twist: These entries are alliterative in sound, not in initial letter.
Advertisement Continue reading the main story38A: Wordplay alert!
“Ante matter?” is not “Anti matter?” To ante is to bid or bet, so the answer is a playing CHIP.","Photo

MONDAY PUZZLE — The theme topic of Peter Gordon’s crossword is something that most people remember learning in English or writing classes in school, but which is largely forgotten until a puzzle like today’s comes along and makes you think “Oh yeah! That’s pretty cool.”

Today’s Theme

Mr. Gordon offers us a seemingly disparate list of names and phrases but, this being a theme, they all have one thing in common. They all use ALLITERATION, the revealer at 18D, although Mr. Gordon has added an interesting twist: These entries are alliterative in sound, not in initial letter.

For example, at 47A, the “Dish made with romaine lettuce, croutons and Parmesan cheese” is a CAESAR SALAD, where both words in the entry begin with the same “S” sound, but not the same letter.

Tricky Clues

1A: Today’s Monday, so we have some extra help with this clue in the “ … as in ‘bada-bing” addendum, but you still have to know that the name of a three-syllable foot is an ANAPEST.

Advertisement Continue reading the main story

38A: Wordplay alert! Note the spelling here. “Ante matter?” is not “Anti matter?” To ante is to bid or bet, so the answer is a playing CHIP.",Despite Appearances to the Contrary,https://www.nytimes.com/2017/11/19/crosswords/daily-puzzle-2017-11-20.html
8,"['label', 'group', 'agards', 'puzzle', 'look', 'theme', 'supremes', 'word', 'whiplash', 'motown', 'entries', 'record']","PhotoWEDNESDAY PUZZLE — My first reaction upon filling in the first theme entry (18A) in Erik Agard’s puzzle was, “Hey!
Today’s ThemeMr. Agard’s theme comes just in time for the cold weather we’ve been experiencing in the northeast.
The first word in each of the theme entries is a singular member of a MOTOWN group: The SUPREMEs, The CONTOURs, The MIRACLEs and The TEMPTATIONs.
Mr. Agard’s puzzles typically have entries in them that are tough for some solvers to get, but this one felt very accessible.
Advertisement Continue reading the main storyTricky Clues1A: Wait, “What you see when you look up?” is ACROSS?","Photo

WEDNESDAY PUZZLE — My first reaction upon filling in the first theme entry (18A) in Erik Agard’s puzzle was, “Hey! It’s the Supremes!” I know, the real answer did not refer to the award-winning singing group, but by the time I finished and got the revealer at 74A, I realized that it actually did.

That is some nice thematic whiplash for a Wednesday, Mr. Agard. Nicely done.

Today’s Theme

Mr. Agard’s theme comes just in time for the cold weather we’ve been experiencing in the northeast. I have never heard a MOTOWN song that hasn’t made me want to get up and dance, and that keeps the blood moving.

The first word in each of the theme entries is a singular member of a MOTOWN group: The SUPREMEs, The CONTOURs, The MIRACLEs and The TEMPTATIONs.

Mr. Agard’s puzzles typically have entries in them that are tough for some solvers to get, but this one felt very accessible. He has also embiggened his grid and increased the maximum word count, but I don’t mind that. There are plenty of fun entries — including not one but two types of Japanese noodles, RAMEN and UDON — and the puzzle doesn’t feel crowded to me at all.

Advertisement Continue reading the main story

Tricky Clues

1A: Wait, “What you see when you look up?” is ACROSS? It sure is, if you look up one line above the clue.",Record Label,https://www.nytimes.com/2017/11/28/crosswords/daily-puzzle-2017-11-29.html
9,"['football', 'player', 'hollywood', 'team', 'remaining', 'real', 'wilson', 'glamour', 'high', 'returned', 'school', 'professional', 'public']","In Flint, High School Football Is No GameChris Wilson, a former professional football player, returned to his Michigan hometown to coach its last remaining public high school team, offering lessons that go far beyond the field.","In Flint, High School Football Is No Game

Chris Wilson, a former professional football player, returned to his Michigan hometown to coach its last remaining public high school team, offering lessons that go far beyond the field.","The Real Hollywood, Without the Glamour",https://www.nytimes.com/slideshow/2017/11/28/blogs/the-real-hollywood-without-the-glamour.html
