,KEYWORDS,SUMMARY,TEXT,TITLE,URL
0,"['breakingviews', 'heads', 'prime', 'talks', 'uk', 'transition', 'eu', 'britain', 'border', 'brexit', 'union', 'minister', 'european']","Prime Minister Theresa May’s last-minute deal with the European Union reduces the chances of a chaotic divorce but exposes the difficulty of preserving trade flows after the separation.
A lengthy transition period will create further scope for May – or another prime minister – to make concessions.
Britain's Prime Minister Theresa May is welcomed by European Commission President Jean-Claude Juncker at the EC headquarters in Brussels, Belgium December 8, 2017.
May might then make further concessions – or be replaced by a prime minister not bound by the same “red lines”.
But the chances of Britain leaving the EU in name only will continue to grow.","LONDON (Reuters Breakingviews) - Brexit is rapidly becoming a symbol without substance. Prime Minister Theresa May’s last-minute deal with the European Union reduces the chances of a chaotic divorce but exposes the difficulty of preserving trade flows after the separation. A lengthy transition period will create further scope for May – or another prime minister – to make concessions.

Britain's Prime Minister Theresa May is welcomed by European Commission President Jean-Claude Juncker at the EC headquarters in Brussels, Belgium December 8, 2017. REUTERS/Yves Herman

The first phase of Brexit talks was supposed to be straightforward. In reality, the six-month negotiation was punctuated by British compromises. Despite initial protestations, the government will pay a divorce bill that UK officials estimate will be between 40 billion and 45 billion euros. It also conceded that the European Court of Justice can rule on disputes involving EU citizens for up to eight years after Britain leaves.

The biggest climbdown, however, was over the border with the Republic of Ireland. Ministers had insisted it was possible to leave the EU’s single market and customs union without reintroducing a hard border. That was exposed as naive. Decisions on a detailed plan are deferred to the next stage of the talks. In the absence of a solution, however, the UK has committed to maintaining “full alignment” with the EU rules required to keep the border open.

The tussle is a preview of the issue likely to dominate the next phase of the talks: Britain’s willingness to comply with EU regulations after quitting the bloc. May wants an ambitious pact, but also insists on her country’s right to determine its own future. Officials in Brussels say that means London may have to settle for an agreement like the one the EU has with Canada. Even that could prove tricky since all 27 remaining EU nations will have to approve it.

Fully resolving this question by March 2019, when Britain is due to leave, looks impossible. A transition period, initially of two years, will buy time to agree details. Once in place, that limbo could easily be extended. May might then make further concessions – or be replaced by a prime minister not bound by the same “red lines”. Reversing the referendum decision still looks unlikely. But the chances of Britain leaving the EU in name only will continue to grow.",Breakingviews - Britain heads for Brexit in name only,https://www.reuters.com/article/us-britain-eu-breakingviews/breakingviews-britain-heads-for-brexit-in-name-only-idUSKBN1E21KT
1,"['ctrlc', 'mac', 'mobile', 'copy', 'following', 'device', 'retires', 'longpress', 'windows', 'codehttpsreutrs2aia8tp', 'press', 'assault', 'sumo', 'scandal', 'champion', 'url', 'grand']","Press CTRL+C (Windows), CMD+C (Mac), or long-press the URL below on your mobile device to copy the codehttps://reut.rs/2AiA8tp","Press CTRL+C (Windows), CMD+C (Mac), or long-press the URL below on your mobile device to copy the code

https://reut.rs/2AiA8tp",Sumo grand champion retires following assault scandal,https://www.reuters.com/video/2017/11/29/sumo-grand-champion-retires-following-as?videoId=373067431&videoChannel=118110&channelName=Dateline+Asia
2,"['ctrlc', 'codehttpsreutrs2behtft', 'mac', '社民党被劝与联盟党复合', 'mobile', 'copy', 'device', 'longpress', 'windows', '德国组阁陷僵局', 'press', 'url']","Press CTRL+C (Windows), CMD+C (Mac), or long-press the URL below on your mobile device to copy the codehttps://reut.rs/2BehtfT","Press CTRL+C (Windows), CMD+C (Mac), or long-press the URL below on your mobile device to copy the code

https://reut.rs/2BehtfT",德国组阁陷僵局 社民党被劝与联盟党“复合”,https://www.reuters.com/video/2017/11/23/%E5%BE%B7%E5%9B%BD%E7%BB%84%E9%98%81%E9%99%B7%E5%83%B5%E5%B1%80-%E7%A4%BE%E6%B0%91%E5%85%9A%E8%A2%AB%E5%8A%9D%E4%B8%8E%E8%81%94%E7%9B%9F%E5%85%9A%E2%80%9C%E5%A4%8D%E5%90%88%E2%80%9D?videoId=373041256&videoChannel=118196
3,"['gravity', '金属期市上海金属期货大多上扬受益于国内供应减少迹象', 'toll', 'britain', 'brexit', 'commentaryin', 'economic']","CommentaryIn Brexit Britain, economic gravity will take its toll","Commentary

In Brexit Britain, economic gravity will take its toll",金属期市：上海金属期货大多上扬，受益于国内供应减少迹象,https://www.reuters.com/article/%E9%87%91%E5%B1%9E%E6%9C%9F%E5%B8%82%EF%BC%9A%E4%B8%8A%E6%B5%B7%E9%87%91%E5%B1%9E%E6%9C%9F%E8%B4%A7%E5%A4%A7%E5%A4%9A%E4%B8%8A%E6%89%AC%EF%BC%8C%E5%8F%97%E7%9B%8A%E4%BA%8E%E5%9B%BD%E5%86%85%E4%BE%9B%E5%BA%94%E5%87%8F%E5%B0%91%E8%BF%B9%E8%B1%A1-idCNL3S1OC1HS
4,"['view', 'pricing', 'kicked', 'suggested', 'kick', 'trades', 'price', 'bang', 'future', 'moderating', 'reports', 'transcript', 'bitcoin', 'say']","The first bitcoin future trades kicked off with a bang, some analysts say its futures pricing suggested investors see price increases moderating.
Fred Katayama reports.
▲ Hide Transcript▶ View Transcript","The first bitcoin future trades kicked off with a bang, some analysts say its futures pricing suggested investors see price increases moderating. Fred Katayama reports.

▲ Hide Transcript

▶ View Transcript",Bitcoin future trades kick off with a bang,http://www.reuters.com/video/2017/12/11/bitcoin-future-trades-kick-off-with-a-ba?videoId=373722713&amp;feedType=VideoRSS&amp;feedName=Business&amp;videoChannel=5
5,"['lessons', 'coup', 'key', 'zimbabwe', 'harare', 'military', 'zimbabwes', 'mugabe', 'africa', 'president', 'week', 'commentary', 'mugabes', 'power']","The speed of events in Zimbabwe this week has taken even experienced Africa watchers by surprise.
An effective army takeover; President Robert Mugabe placed under house arrest and his wife – and would-be successor – reportedly fleeing the country.
Soldiers stand beside military vehicles outside Harare, Zimbabwe, November 14,2017.
But whoever prevails will need the backing of both the military as well as China, Zimbabwe’s primary foreign investor.
The speed and success of the military takeover in Zimbabwe contrasts dramatically with the July 2016 attempted coup in Turkey.","The speed of events in Zimbabwe this week has taken even experienced Africa watchers by surprise. An effective army takeover; President Robert Mugabe placed under house arrest and his wife – and would-be successor – reportedly fleeing the country.

Soldiers stand beside military vehicles outside Harare, Zimbabwe, November 14,2017. REUTERS/Philimon Bulawayo

It’s still unclear who will end up running Zimbabwe. But whoever prevails will need the backing of both the military as well as China, Zimbabwe’s primary foreign investor.

By Thursday, reports indicated the 93-year-old Mugabe was still trying to persuade top generals that he should be allowed to serve out his presidential term until elections next year. The generals were believed to favor handing power to Mugabe’s former deputy, Emmerson Mnangagwa.

Here are some key lessons from what we now know:

1. China is emerging as a key powerbroker on the continent.

Nobody in Beijing or Harare is saying whether China was told in advance about plans for the takeover. Shortly before Zimbabwean tanks took to the streets, however, the Chinese Defense Ministry made a point of reporting that Zimbabwe’s top military commander had met with his Chinese counterpart in Beijing the previous week.

The news was widely reported, particularly in southern Africa, alongside the breaking coup developments. Many regional observers suspect China, which backed guerrilla fighters from Mugabe’s Zimbabwe African National Union movement during its war against then-Rhodesia’s white minority regime, was in the loop on events in Harare, and broadly supportive.

With Beijing strikingly increasing its holdings in sub-Saharan Africa in the last decade, expect this kind of signaling to be a key part of events on the continent from now on.

2. No autocrat lasts forever.

Described by a U.S. ambassador as a “brilliant tactician,” Mugabe was regarded as one of the great survivors of international politics. Charming and utterly ruthless, he was willing to use ethnic division, death squads, media manipulation and a host of other unsavory tools to crush all opponents. In 2008, his main rival withdrew from a runoff vote after government forces beat, killed or intimidated thousands of opposition voters.

Ironically, he’s now been undone by the same advancing years that once protected him from internal challengers who previously seemed content to wait for time to take its toll. Since he entered his 90s, this dynamic changed as it became clearer that Grace Mugabe, an ambitious woman more than 30 years her husband’s junior, was angling for her own shot at the presidency. The scheming and backstabbing culminated last week in the firing of Vice President Mnangagwa – a onetime favorite as Mugabe’s successor – in what was seen as a move to strengthen Grace Mugabe.

3. “Keeping it in the family” isn’t always possible.

President Robert Mugabe and his wife Grace Mugabe at a rally of his ruling ZANU-PF party in Harare, Zimbabwe, November 8, 2017.REUTERS/Philimon Bulawayo

Trying to transfer power to a close family member is hardly an unusual strategy for an ailing potentate. In countries that are not constitutional monarchies, however, it can be a divisive or impossible process.

Dubbed “Gucci Grace” within Zimbabwe for her reported shopping habits, Mugabe’s wife was never popular. Perhaps more importantly, her growing influence alienated and upset established figures in the ruling Zanu-PF party and government structure. They were clearly beginning to move against her before last week’s ouster of Mnangagwa.

Nor are the Mugabes the only dominant family in Africa to have had a bad week. Earlier this year, Angolan President José Eduardo dos Santos handed power to his deputy after 37 years in office as part of the deal that also put his daughter Isabel in charge of state oil firm Sonangol. It lasted less than three months – she was fired on Wednesday in a move analysts said was a clear attempt by new incumbent João Lourenço to trim family power.

4. Entrenched power structures are just that. Entrenched.

When he was ousted from office last week, it briefly looked like the end of the road for Mnangagwa. Now, the man sometimes nicknamed the “Crocodile” looks likely to be handed power by the actions of the Army.

This is not a uniquely Zimbabwean situation. Egyptian President Abdel Fattah al-Sisi is in many respects a similar character, a senior Army official who projected himself as a safe pair of hands through the chaos that followed the ouster of Hosni Mubarak and his sons.

These individuals are not just bright, ambitious characters who have waited in the wings for decades. They also have access to an entire generation of similar figures with similar frustrations. That can make for a powerful network when it comes to this kind of situation and a need for sudden, decisive action.

5. Imagery and narrative are crucial.

The speed and success of the military takeover in Zimbabwe contrasts dramatically with the July 2016 attempted coup in Turkey. Then, a relatively small group of military officers attempted to move against President Recep Tayyip Erdogan. Taking on a leader who was at the peak of his powers rather than an ailing nonagenarian, they faced a tougher task than their Zimbabwean counterparts. But the Turkish plotters also failed to seize key government buildings and allowed Erdogan to address the nation and coordinate with still-loyal military units.

MORE FROM REUTERS COMMENTARY

Jill Filipovic: The next front in the fight against sexual assault

Peter Apps: The truth behind the U.S. show of force in Asia

In Zimbabwe, the military appears to have been united. Little force was used – and in at least one case, a poorly-maintained tank was unable to make it to the capital. None of that particularly mattered. The speed with which Mugabe was contained, the television appearance of a military spokesman and the visible presence of armored vehicles on streets was enough to show that the political reality had changed.

Whoever takes over in Zimbabwe now will need the backing of the military, but that doesn’t mean those behind the seizure of power can expect a free rein. By Thursday, China’s closely watched state-run “Global Times” was warning that prolonged instability in Zimbabwe might deter further Chinese investment. For Africa, the end of the Mugabe era may mark the start of a new chapter in China’s involvement on the continent.",Commentary: Lessons from Zimbabwe’s coup,https://www.reuters.com/article/us-apps-zimbabwe-commentary/commentary-lessons-from-zimbabwes-coup-idUSKBN1DG2YA
6,"['la', 'catalanes', 'otros', 'marta', 'rc14f7f40750', 'amplía', 'modelo', 'políticos', 'secretary', 'spain', 'supremo', 'speaks', 'rovira', 'reutersjavier', 'secesionista', 'republican', 'el', 'investigación', 'prison']","Republican Left of Catalonia (ERC) General Secretary Marta Rovira speaks during a campaign act in front of La Modelo prison in Barcelona , Spain, December 5, 2017.
REUTERS/Javier Barbancho - RC14F7F40750","Republican Left of Catalonia (ERC) General Secretary Marta Rovira speaks during a campaign act in front of La Modelo prison in Barcelona , Spain, December 5, 2017. REUTERS/Javier Barbancho - RC14F7F40750",El Supremo amplía la investigación secesionista a otros políticos catalanes,https://www.reuters.com/article/topNews/idESKBN1E51LX-OESTP
7,"['view', 'reporter', 'address', 'rough', 'cities', 'undocumented', 'blasts', 'states', 'weekly', 'president', 'transcript', 'sanctuary', 'united', 'trump', 'protect']","U.S. President Donald Trump juxtaposed a high-profile murder case involving an illegal immigrant from Mexico with efforts in Congress to protect undocumented immigrants brought into the United States when they were children.
Rough Cut (no reporter narration).
▲ Hide Transcript▶ View Transcript","U.S. President Donald Trump juxtaposed a high-profile murder case involving an illegal immigrant from Mexico with efforts in Congress to protect undocumented immigrants brought into the United States when they were children. Rough Cut (no reporter narration).

▲ Hide Transcript

▶ View Transcript",Trump blasts sanctuary cities in weekly address,https://www.reuters.com/video/2017/12/10/trump-blasts-sanctuary-cities-in-weekly?videoId=373579541&videoChannel=117764&channelName=Rough+Cuts
8,"['helsinki', 'crushed', 'finland', 'launches', 'crickets', 'english', 'protein', 'bread', 'food', 'insects', 'loaf', 'soundbite', 'saying']","Many bakers experiment with their bread, adding extras like seeds, nuts and olives.
But this Finnish bakery has added one ingredient with a bit more bite - crickets.
Each loaf contains about 70 crickets and costs about 1 euro more than a regular wheat loaf.
SOUNDBITE (English) SARA KOIVISTO STUDENT FROM HELSINKI, SAYING: ""It tastes like bread.
Finland is among 6 European countries that allow insects to be raised for food.","Many bakers experiment with their bread, adding extras like seeds, nuts and olives. But this Finnish bakery has added one ingredient with a bit more bite - crickets. SOUNDBITE (English) MARKUS HELLSTRÖM, CEO OF FAZER BAKERY FINLAND, SAYING: ""The crickets are in the form of flour and they have been ground as a whole cricket and then made into dough and then baked to a very delicious product which we are about to see."" Each loaf contains about 70 crickets and costs about 1 euro more than a regular wheat loaf. It also has more protein thanks to the insects. At the launch in Helsinki, most people were happy to give it a go. SOUNDBITE (English) SARA KOIVISTO STUDENT FROM HELSINKI, SAYING: ""It tastes like bread. It's really good....I don't know!"" Finland is among 6 European countries that allow insects to be raised for food. While common in much of the world, insect-eating is still largely taboo in the West. But a demand to find more sustainable food sources and a desire to treat animals more humanely is helping insects' reputation as a valuable source of protein.",Bread made from crushed crickets launches in Finland,https://www.reuters.com/video/2017/11/23/bread-made-from-crushed-crickets-launche?videoId=373038941&newsChannel=oddlyEnoughNews
9,"['commentaryin', 'fuerzas', 'gravity', 'comiencen', 'toll', 'las', 'ordena', 'siria', 'retirarse', 'britain', 'rusas', 'brexit', 'putin', 'que', 'economic']","CommentaryIn Brexit Britain, economic gravity will take its toll","Commentary

In Brexit Britain, economic gravity will take its toll",Putin ordena a las fuerzas rusas que comiencen a retirarse de Siria,https://www.reuters.com/article/worldNews/idLTAKBN1E5143-OUSLW
