,KEYWORDS,SUMMARY,TEXT,TITLE,URL
0,"['apocalypse', 'today', 'perv', 'feminist', 'pitfalls', 'institute', 'twitter', 'resident', 'movement', 'sommers', 'scholar', 'possible', 'video', 'factual']","Greg's guest today is Dr. Christina Hoff Sommers who is a resident scholar at the American Enterprise Institute and is the author of several books on feminism.
They discuss some possible pitfalls for the ""Me Too"" movement.
You can heck out her video blog here: The Factual Feminist and follow her on twitter @Chsommers.","Greg's guest today is Dr. Christina Hoff Sommers who is a resident scholar at the American Enterprise Institute and is the author of several books on feminism. They discuss some possible pitfalls for the ""Me Too"" movement. You can heck out her video blog here: The Factual Feminist and follow her on twitter @Chsommers.",The “Factual Feminist” on the “Perv Apocalypse”,https://radio.foxnews.com/2017/12/06/the-factual-feminist-on-the-perv-apocalypse/
1,"['crime', 'scene', 'texas', 'thief', 'arrested', 'chickenloving', 'steal', 'schlosser', 'york', 'fried', 'employee', 'returning', 'took', 'restaurant', 'chicken', 'robbery']","A man believed to have robbed a New York City fried chicken restaurant in July was arrested on Thursday after returning to the scene of the crime for second helpings, police say.
So upon re-entering the eatery on Thursday, an employee was able to identify Schlosser as the same man from the incident.
“He thought we didn’t know him,” said Texas Chicken employee Abdul Mustawu to the New York Daily News.
“I told my manager, ‘This guy punched me and took my chicken and my biscuits.
SUSPECTED BURGLAR GETS STUCK IN FRIED CHICKEN RESTAURANT FOR 7 HOURSPolice are encouraging anyone with information into the latest robbery to contact Crime Stoppers at 1-800-577-TIPS (8477).","A man believed to have robbed a New York City fried chicken restaurant in July was arrested on Thursday after returning to the scene of the crime for second helpings, police say.

Christopher Schlosser, 21, has been charged with robbery stemming from an incident that took place on July 27, when he allegedly stormed into a Texas Chicken and Burger location in the Bronx to steal fried chicken and biscuits from behind the counter.

CALIF. RESTAURANT 'PROUDLY' SERVING POPEYES CHICKEN AS ITS OWN

As seen in surveillance footage from inside the restaurant, the suspect’s face was only partially obscured during the robbery. So upon re-entering the eatery on Thursday, an employee was able to identify Schlosser as the same man from the incident.

“He thought we didn’t know him,” said Texas Chicken employee Abdul Mustawu to the New York Daily News. “I told my manager, ‘This guy punched me and took my chicken and my biscuits. I know him. Call the police.”

Police arrived shortly afterward to arrest Schlosser, The New York Post adds.

Oddly enough, this very same Texas Chicken and Burger location was the target of a similar robbery on Wednesday night, when a young couple jumped over the counter to physically assault a 22-year-old employee and steal about $15 worth of food, PIX 11 reports.

SUSPECTED BURGLAR GETS STUCK IN FRIED CHICKEN RESTAURANT FOR 7 HOURS

Police are encouraging anyone with information into the latest robbery to contact Crime Stoppers at 1-800-577-TIPS (8477).",Fried chicken-loving thief arrested after returning to scene of crime,https://www.foxnews.com/food-drink/2017/12/11/fried-chicken-loving-thief-arrested-after-returning-to-scene-crime.html
2,"['total', 'fnc', 'consecutive', 'a2554', 'quarters', 'programs', 'viewers', 'fox', 'primetime', 'network', 'channel', 'cable', 'press', 'continues', 'demo', '2554', 'dominance', 'toprated', 'million']","FNC also dominated basic cable in both primetime and total day in total viewers, marking five consecutive quarters as the top-rated basic cable network in both categories.
In primetime, FNC delivered 2.2 million in total viewers and 436,000 in the 25-54 demo.
All daytime FNC programs (6AM-5PM/ET) posted double-digit gains in the younger 25-54 demo compared to the same quarter last year.
At 4PM/ET, Your World with Neil Cavuto garnered 1.5 million total viewers and 294,000 viewers in the A25-54 demographic (up 11%).
The Story with Martha MacCallum at 7PM/ET delivered 1.9 million total viewers and 387,000 in the younger A25-54 demo.","FNC Leads All of Basic Cable in Primetime and Total Day for Five Consecutive Quarters

Continuing its reign as the most-watched cable news network, FOX News Channel (FNC) marked 63 consecutive quarters as the highest-rated cable news channel in total viewers, according to Nielsen Media Research. FNC also dominated basic cable in both primetime and total day in total viewers, marking five consecutive quarters as the top-rated basic cable network in both categories.

During 3Q’17, FNC averaged 1.4 million in total viewers and 298,000 with A25-54 in total day. In primetime, FNC delivered 2.2 million in total viewers and 436,000 in the 25-54 demo. For the quarter, FNC outpaced MSNBC and CNN in both primetime and total day in total viewers and with A25-54. Additionally, FNC claimed 13 of the top 20 cable news programs in total viewers and 11 out of the top 20 in the 25-54 demo. All daytime FNC programs (6AM-5PM/ET) posted double-digit gains in the younger 25-54 demo compared to the same quarter last year.

Kicking off FNC’s programming, the network’s signature morning program, FOX & Friends (6-9AM/ET), is on pace to have its highest-rated year in network history, delivering 1.5 million total viewers (up 18%) and 343,000 in the A25-54 demographic (up 23%) during the third quarter of 2017. At 9AM/ET, America’s Newsroom is up 3% in total viewers (1,713,000) and 18% in the younger A25-54 demo (348,000). FNC’s afternoon ensemble program, Outnumbered (12PM/ET), averaged 1.6 million total viewers (up 1%) and 321,000 (up 13%) in A25-54. Shepard Smith Reporting delivered 1.5 million viewers at 3PM/ET and is up 19% in A25-54 (293,000). At 4PM/ET, Your World with Neil Cavuto garnered 1.5 million total viewers and 294,000 viewers in the A25-54 demographic (up 11%).

Among FNC’s evening and primetime programs, Special Report with Bret Baier at 6PM/ET averaged 2,063,000 total viewers and 382,000 in A25-54. The Story with Martha MacCallum at 7PM/ET delivered 1.9 million total viewers and 387,000 in the younger A25-54 demo. At 8PM/ET, Tucker Carlson Tonight was the most-watched FNC program in total viewers for the third quarter of 2017, delivering 2,544,000 viewers and 500,000 in the A25-54 demo. The Five (9PM/ET) averaged 2,340,000 total viewers and 486,000 in A25-54. Hannity was the highest-rated FNC program in the younger A25-54 demo with 533,000 viewers and delivered 2,512,000 in total viewers.

RATINGS FOR THE TOP FIVE PROGRAMS IN CABLE NEWS:

Total Viewers: The Rachel Maddow Show (2,721,000), Tucker Carlson Tonight (2,544,000), Hannity (2,512,000), The Five (2,340,000), Last Word with Lawrence O’Donnell (2,256,000)

Adults 25-54: The Rachel Maddow Show (606,000), Hannity (533,000), Tucker Carlson Tonight (500,000), The Five (486,000), Last Word with Lawrence O’Donnell (480,000)

3Q’17 VS. 3Q’16 NIELSEN NUMBERS (7 day week, L+SD):

TOTAL DAY

FNC: 1,365,000 total viewers – down 3% (298,000 in 25-54 – up 8%)

CNN: 797,000 total viewers – up 1% (265,000 in 25-54 – up 10%)

MSNBC: 951,000 total viewers – up 41% (214,000 in 25-54 – up 27%)

PRIMETIME: 8-11PM/ET

FNC: 2,154,000 total viewers – down 12% (436,000 in 25-54 – down 5%)

CNN: 1,088,000 total viewers – down 11% (379,000 in 25-54 – down 5%)

MSNBC: 1,748,000 total viewers – up 43% (384,000 in 25-54 – up 29%)

FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most-watched television news channel for more than 15 years and according to a Suffolk University/USA Today poll, is the most-trusted television news source in the country. Owned by 21st Century Fox, FNC is available in 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.

###

FOX News Media Contact :

Carly Shanahan/212-301-3851

Jessica Jensen/212-301-3531",FOX NEWS CHANNEL CONTINUES ITS DOMINANCE AS THE TOP-RATED CABLE NEWS NETWORK FOR 63 CONSECUTIVE QUARTERS – Fox News Channel Press,http://press.foxnews.com/2017/09/fox-news-channel-continues-its-dominance-as-the-top-rated-cable-news-network-for-63-consecutive-quarters/
3,"['unfriendly', 'la', 'tom', 'airlines', 'sarah', 'sanders', 'treating', 'listen', 'michael', 'fox', 'somerville', 'white', 'jaimie', 'press', 'audio', 'shillue', 'skies', 'humiliates', 'tomshillueshowcom', 'talkcomedian']","Audio clip: Listen to audio clip.
The third hour of the Tom Shillue Radio Show on FOX News Talk!
Comedian Michael Somerville and Fox Business' Jaimie La Bella join the Tom Shillue Show to discuss the most important stories of the day, including Sarah Sanders treating the press like children during Monday's White House daily briefing.
PLUS: Tom Shillue is sick of giving Christmas gift.
And remember to listen to The Show Shillue Show LIVE Monday through Friday 3-6 pm Eastern!","Audio clip: Listen to audio clip.

The third hour of the Tom Shillue Radio Show on FOX News Talk!

Comedian Michael Somerville and Fox Business' Jaimie La Bella join the Tom Shillue Show to discuss the most important stories of the day, including Sarah Sanders treating the press like children during Monday's White House daily briefing. And there are more high profile confrontations between the airlines and their passengers. Are the airlines to blame? Or are the customers not always right? PLUS: Tom Shillue is sick of giving Christmas gift.

Download, enjoy and please give us a review! And remember to listen to The Show Shillue Show LIVE Monday through Friday 3-6 pm Eastern! Find out more at TomShillueShow.com","Michael Somerville, Jaimie La Bella: The Unfriendly Skies, Sarah Sanders Humiliates The Press & Christmas Gifts",https://radio.foxnews.com/2017/12/11/shillue-12-11-17-third-hour/
4,['mediabuzz'],,,"MediaBuzz - Sunday, December 10",https://video.foxnews.com/v/5674562228001/?playlist_id=5556999982001
5,"['test', 'belt', 'rust', 'staying', 'trumps', 'tim', 'true', 'seat', 'zito', 'trump', 'york', 'voted', 'special', 'election', 'power']","By Salena Zito | New York PostIn less than five months, the true test of President Trump’s staying power in the Rust Belt will finally be here.
A House seat in southwestern Pennsylvania, which voted solidly for Trump in 2016, is up for grabs in a special election on March 13.
Now, the first post-Trump election in Appalachia is approaching, and the result could signal how the crucial 2018 midterms will be decided next year.
While the special election in Alabama for a senate seat on Dec. 12 is getting all the press, this one could be the real game-changer.
Especially because the Democrats have a really good shot at taking the seat with their candidate Conor Lamb.","By Salena Zito | New York Post



In less than five months, the true test of President Trump’s staying power in the Rust Belt will finally be here. A House seat in southwestern Pennsylvania, which voted solidly for Trump in 2016, is up for grabs in a special election on March 13.

Republican Tim Murphy held this seat for 10 years until it was revealed that the politician, who is married and pro-life, asked his mistress to consider an abortion in the midst of a pregnancy scare. The news prompted a national scandal and his ouster this fall.

Now, the first post-Trump election in Appalachia is approaching, and the result could signal how the crucial 2018 midterms will be decided next year. While the special election in Alabama for a senate seat on Dec. 12 is getting all the press, this one could be the real game-changer. Especially because the Democrats have a really good shot at taking the seat with their candidate Conor Lamb.

Read the full story in the New York Post",This Is the Election That Could Test Trump's Staying Power in the Rust Belt,http://nation.foxnews.com/2017/12/11/election-could-test-trumps-staying-power-rust-belt#commenting
6,"['actions', 'evening', 'randy', 'reportedly', 'health', 'tape', 'travis', 'video', 'apologetic', 'incident', 'arrest', 'public', 'deeply', 'reacts', 'nude', 'im']","Randy Travis is speaking out after a federal judge denied his request to keep the country singer's 2012 arrest video private.
The tape stems from a 2012 incident in which Travis reportedly crashed his 1988 Trans Am west of Tioga, Texas.
Travis' statement continued, ""Randy is deeply apologetic for his actions that evening.
A man of integrity with a good heart, Randy does not and will never condone these types of actions that distort the true beliefs of Randy Travis and his entire family.""
Travis was reportedly belligerent and confused at the time and went as far as to threaten the arresting officer’s with death.","Randy Travis is speaking out after a federal judge denied his request to keep the country singer's 2012 arrest video private.

The tape stems from a 2012 incident in which Travis reportedly crashed his 1988 Trans Am west of Tioga, Texas. When police arrived, Travis was lying naked in the street.

WATCH: Randy Travis arrest video

""Randy’s behavior was extremely altered the evening of his arrest due to the state of his mental health, and substances in his body, causing him to do and say things that were entirely out of character,"" Travis' rep told Fox News. ""He suffered a severe concussion and sustained numerous other injuries from the crash.""

Travis' statement continued, ""Randy is deeply apologetic for his actions that evening. A man of integrity with a good heart, Randy does not and will never condone these types of actions that distort the true beliefs of Randy Travis and his entire family.""

Travis was reportedly belligerent and confused at the time and went as far as to threaten the arresting officer’s with death. His blood-alcohol level was later tested at a 0.21, more than double the legal limit to drive. A dashboard camera reportedly caught the whole incident, which would normally be a matter of public record.

Travis has made three attempts to prevent the tape from hitting the public. He has been battling health issues since suffering a stroke in 2013.

The Associated Press contributed to this report.",Randy Travis reacts to 2012 nude arrest video: I'm 'deeply apologetic',https://www.foxnews.com/entertainment/2017/12/05/randy-travis-reacts-to-2012-nude-arrest-video-im-deeply-apologetic.html
7,"['antitrump', 'looking', 'team', 'flynn', 'mueller', 'fbi', 'gun', 'ross', 'turns', 'strzok', 'went', 'trump', 'smoking']","Plus, the professionalism of the FBI looks compromised by anti-Trump bias.
The media went berserk Friday on news that former Trump confidante Mike Flynn had copped a plea deal with special counsel Bob Mueller.
Meanwhile, news broke of another supposedly neutral dirt-digger in hot water for having a political agenda: Mueller, it turns out, kicked a top FBI agent off his team for apparent anti-Trump bias.
That obliged Mueller, already under fire for hiring several pro-Hillary lawyers for his team, to oust Strzok from his Russian-meddling investigation.
So a weekend that began with signs of armageddon for Trump closed with the president looking as secure as ever, the anti-Trump media looking worse than ever — and the FBI’s “nonpartisan” investigations looking anything but.","By The New York Post Editorial Board



Once again, a supposed big break in the drive to destroy President Trump over “collusion” with the Russians during the 2016 campaign stands exposed as nothing more than bad reporting. Plus, the professionalism of the FBI looks compromised by anti-Trump bias.

The media went berserk Friday on news that former Trump confidante Mike Flynn had copped a plea deal with special counsel Bob Mueller. All the usual suspects launched an orgy of speculation on what beans Flynn “must” have spilled.

It all went into overdrive when ABC’s Brian Ross reported that Flynn had been instructed to reach out to Moscow during the campaign: This seemed to be the long-awaited proof of collusion with Vladimir Putin against Hillary Clinton.

Except that Ross retracted the claim hours later: The reach-out was only after Election Day, when any president-elect is expected to start connecting with other world leaders, US-friendly or not.

ABC has now suspended Ross for four weeks without pay — modest punishment for an error that probably had a lot to do with the stock market’s dive early Friday.

Meanwhile, news broke of another supposedly neutral dirt-digger in hot water for having a political agenda: Mueller, it turns out, kicked a top FBI agent off his team for apparent anti-Trump bias.

The Justice Department’s inspector general this summer launched a probe of alleged Trump-bashing texts by Peter Strzok, one of the top FBI counterintelligence investigators. That obliged Mueller, already under fire for hiring several pro-Hillary lawyers for his team, to oust Strzok from his Russian-meddling investigation.

Remarkably, the agent had also been a key player in the probe into Clinton’s mishandling of classified information via her secret use of that unsecure private server for all her government work. He’s now in deep freeze with a job at FBI Human Resources.

So a weekend that began with signs of armageddon for Trump closed with the president looking as secure as ever, the anti-Trump media looking worse than ever — and the FBI’s “nonpartisan” investigations looking anything but.",Another Anti-Trump 'Smoking Gun' Turns Out To Be Nothing,http://nation.foxnews.com/2017/12/04/another-anti-trump-smoking-gun-turns-out-be-nothing
8,"['voters', 'democrats', 'moore', 'month', 'poll', 'vote', 'fox', 'jones', 'supporters', 'alabama', 'points', 'lead', 'election', 'enthused']","Democrat Doug Jones holds a 10-point lead over Republican Roy Moore among likely voters in deep red Alabama.
That’s according to a Fox News Poll of Alabama voters conducted Thursday through Sunday using traditional polling techniques, including a list-based probability sample with both landlines and cellphones.
By a 6-point margin, Alabama voters believe the allegations against Moore are true (39-33 percent).
Among just the 46 percent of Alabama voters who are “extremely” interested in the race, the Democrat’s lead widens to 53-40 percent.
And more Democrats plan to vote for Jones (90 percent) than Republicans plan to vote for Moore (81 percent).","Democrat Doug Jones holds a 10-point lead over Republican Roy Moore among likely voters in deep red Alabama.

Greater party loyalty plus higher interest in the election among Democrats combined with more enthusiasm among Jones supporters gives him the advantage in the race to fill the U.S. Senate seat previously held by U.S. Attorney General Jeff Sessions.

That’s according to a Fox News Poll of Alabama voters conducted Thursday through Sunday using traditional polling techniques, including a list-based probability sample with both landlines and cellphones.

Jones receives 50 percent to Moore’s 40 percent, with 1-in-10 undecided (8 percent) or supporting another candidate (2 percent) -- which could make a difference Tuesday. That’s even truer with such an unconventional election with unconventional candidates.

READ THE FULL POLL RESULTS

This race’s uniqueness is significant. It is impossible to know who will show up to vote in a special election to fill a seat in the middle of a term in an off-year. And it’s December, a time when people expect to be going to the shopping mall, not the voting booth.

On top of that, accusations of sexual misconduct against Moore emerged Nov. 9. That’s just a month before the Dec. 12 election. Since then, he has repeatedly denied the allegations, and after the GOP initially pulled its support, the party ultimately backed Moore.

By a 6-point margin, Alabama voters believe the allegations against Moore are true (39-33 percent). They were more evenly divided last month, believing the accusations by just 1 point (38-37 percent). About one quarter, 27 percent, feel it is too soon to say or have no opinion.

Among Republicans, 13 percent believe the accusations are true, 60 percent say they aren’t, and 26 percent are unsure. In November, it was 13-62 percent (26 percent unsure).

President Donald Trump, who won the state by 28 points in 2016, held off endorsing Moore until Dec. 4 -- about a week before Election Day. Yet Alabama’s senior senator, Republican Richard Shelby, announced Sunday he didn’t vote for Moore and instead cast a write-in vote.

Jones’s 10-point edge is outside the poll’s 3 percentage-point margin of sampling error. Last month, Jones was ahead by 8 points among likely voters and by 9 among the larger group of registered voters (November 13-15, 2017). In the new poll he’s up by 6 among registered voters.

Among just the 46 percent of Alabama voters who are “extremely” interested in the race, the Democrat’s lead widens to 53-40 percent.

Jones’s lead comes mostly from nonwhites, younger voters, and women. He’s the choice of nonwhites by 76 points (83-7 percent), by 31 points among voters under age 45 (59-28), and by 20 among women (54-34). That jumps to 46 points among women under age 45 (67-21 percent).

More Democrats (50 percent) than Republicans (45 percent) are “extremely” interested in the election. And more Democrats plan to vote for Jones (90 percent) than Republicans plan to vote for Moore (81 percent).

The small subgroup of independents breaks for Jones by 29 points.

Moore is preferred among whites by 20 points (55-35 percent) and whites without a college degree by 33 points (61-28 percent).

Support for Moore among white evangelical Christians is down 8 points since last month: it was 73 percent in November and stands at 65 percent now.

And his advantage among men has dropped from 12 points last month to just 3 points now. In addition, Republican men (41 percent) are less likely than GOP women (50 percent) or Democratic men (53 percent) to be “extremely” interested in the race.

“Moore might prevail if only the people who typically vote in Alabama elections turn out Tuesday, which is often what happens in special elections,” says Democratic pollster Chris Anderson, who conducts the Fox News Poll with Republican counterpart Daron Shaw.

“But this appears to be a special, special election with blacks and young voters animated by a caustic Republican candidate and the chance of winning a statewide election with national implications, and at the same time some Republicans and many moderates are turned off by Moore, too.”

A subtle but potentially noteworthy finding is Alabama voters who were interviewed on cellphones are +30 for Jones, while the race is roughly even among all others. The fact that traditional, high-quality probability samples, like the Fox News Poll, include both landline and cellphone numbers may be why these polls show Jones doing relatively well compared to automated or blended polls.

“It’s clear Jones is positioned to pull off the upset because his supporters are unified and energized, and Moore’s are conflicted and diffident,” says Shaw.

“But Jones is depending on many voters who show up only occasionally to cast their ballots. If their rate of follow-through drops from what we expect, the race could turn. The other factor is the race seems volatile, with a new twist or story every day, and because of this it is difficult to know what Republicans will ultimately do.”

The poll does indeed show enthusiasm is up among Jones supporters and held steady among Moore backers.

Fifty-seven percent of those planning to vote for Moore say they “strongly” support him, which is mostly unchanged from 58 percent in November.

Among Jones supporters, 70 percent “strongly” back him, up from 62 percent.

The portion of Moore supporters who are backing him because they dislike Jones is up 4 points since last month and stands at 13 percent.

Meanwhile, 29 percent of Moore’s supporters say they have reservations about their candidate, while just 13 percent of Jones’s supporters feel that way.

By a 15-point margin, strong moral character is more important to Alabama voters than how the candidate will vote in the Senate (48-33 percent).

For those who say moral character is more important, Jones tops Moore by 60-30 percent. Moore is preferred among those prioritizing how the candidate will vote in the senate by a narrower 54-38 percent.

The Fox News Poll is conducted under the joint direction of Anderson Robbins Research (D) and Shaw & Company Research (R). The poll was conducted December 7-10, 2017, by telephone (landline and cellphone) with live interviewers among a sample of 1,127 voters selected from a statewide voter file in Alabama. It has a margin of sampling error of plus or minus three percentage points for the full sample of likely voters. For the sample of 1,408 registered voters it is plus or minus 2.5 percentage points.",Fox News Poll: Enthused Democrats give Jones lead over Moore in Alabama,http://www.foxnews.com/politics/2017/12/11/fox-news-poll-enthused-democrats-give-jones-lead-over-moore-in-alabama.html
9,"['focused', 'president', 'final', 'tax', 'push', 'reform', 'trump']",,,President Trump focused on final push for tax reform,http://video.foxnews.com/v/5676076462001/
